p_k,country_id,ext_int,imp_exp,month,trade_value
38,DK,INTRA,IMPORT,d2021_01,4955205854
39,DK,INTRA,EXPORT,d2021_01,4062813012
40,DK,WORLD,IMPORT,d2021_01,7123167171
41,DK,WORLD,EXPORT,d2021_01,7791782620
42,EE,EXTRA,IMPORT,d2021_01,391298973
43,EE,EXTRA,EXPORT,d2021_01,366996814
44,EE,INTRA,IMPORT,d2021_01,914662898
45,EE,INTRA,EXPORT,d2021_01,819920942
46,EE,WORLD,IMPORT,d2021_01,1305961871
47,EE,WORLD,EXPORT,d2021_01,1186917756
48,ES,EXTRA,IMPORT,d2021_01,9911940175
49,ES,EXTRA,EXPORT,d2021_01,7663061816
50,ES,INTRA,IMPORT,d2021_01,13418467900
51,ES,INTRA,EXPORT,d2021_01,13785912639
52,ES,WORLD,IMPORT,d2021_01,23330408075
53,ES,WORLD,EXPORT,d2021_01,21448974455
54,EU,EXTRA,IMPORT,d2021_01,140753418867
55,EU,EXTRA,EXPORT,d2021_01,148921029880
56,EU,INTRA,IMPORT,d2021_01,234274766088
57,EU,INTRA,EXPORT,d2021_01,246790794830
58,FI,EXTRA,IMPORT,d2021_01,1452192050
59,FI,EXTRA,EXPORT,d2021_01,1977634633
60,FI,INTRA,IMPORT,d2021_01,3324928782
61,FI,INTRA,EXPORT,d2021_01,2483108557
62,FI,WORLD,IMPORT,d2021_01,4777120832
63,FI,WORLD,EXPORT,d2021_01,4460743190
64,FR,EXTRA,IMPORT,d2021_01,14022037988
65,FR,EXTRA,EXPORT,d2021_01,15505193665
66,FR,INTRA,IMPORT,d2021_01,28979210517
67,FR,INTRA,EXPORT,d2021_01,20186054674
68,FR,WORLD,IMPORT,d2021_01,43001248505
69,FR,WORLD,EXPORT,d2021_01,35691248339
70,GR,EXTRA,IMPORT,d2021_01,1819091686
71,GR,EXTRA,EXPORT,d2021_01,1089787798
72,GR,INTRA,IMPORT,d2021_01,2186484029
73,GR,INTRA,EXPORT,d2021_01,1433370208
74,GR,WORLD,IMPORT,d2021_01,4005575715
75,GR,WORLD,EXPORT,d2021_01,2523158006
76,HR,EXTRA,IMPORT,d2021_01,366271807
77,HR,EXTRA,EXPORT,d2021_01,352227930
78,HR,INTRA,IMPORT,d2021_01,1396232686
79,HR,INTRA,EXPORT,d2021_01,788305594
80,HR,WORLD,IMPORT,d2021_01,1762504493
81,HR,WORLD,EXPORT,d2021_01,1140533524
82,HU,EXTRA,IMPORT,d2021_01,2397401939
83,HU,EXTRA,EXPORT,d2021_01,1929406388
84,HU,INTRA,IMPORT,d2021_01,5828180267
85,HU,INTRA,EXPORT,d2021_01,7129088976
86,HU,WORLD,IMPORT,d2021_01,8225582206
87,HU,WORLD,EXPORT,d2021_01,9058495364
88,IE,EXTRA,IMPORT,d2021_01,3902855522
89,IE,EXTRA,EXPORT,d2021_01,8450755887
90,IE,INTRA,IMPORT,d2021_01,2479602137
91,IE,INTRA,EXPORT,d2021_01,4490437110
92,IE,WORLD,IMPORT,d2021_01,6382457659
93,IE,WORLD,EXPORT,d2021_01,12941192997
94,IT,EXTRA,IMPORT,d2021_01,13692544089
95,IT,EXTRA,EXPORT,d2021_01,15286607453
96,IT,INTRA,IMPORT,d2021_01,18703329900
97,IT,INTRA,EXPORT,d2021_01,18633025723
